,GPSpoint,Plot_no,N_Treat,Rep,Treat_no,Irr_treat,Treat_no,N_Rateha_2017,N_Rateac_2017,N_Rateha,N_Rateac
0,1.0,1.0,STB,1.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
1,2.0,1.0,STB,1.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
2,3.0,1.0,STB,1.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
3,4.0,1.0,STB,1.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
4,5.0,2.0,Zero,1.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
5,6.0,2.0,Zero,1.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
6,7.0,2.0,Zero,1.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
7,8.0,2.0,Zero,1.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
8,9.0,3.0,Zero,1.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
9,10.0,3.0,Zero,1.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
10,11.0,3.0,Zero,1.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
11,12.0,3.0,Zero,1.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
12,13.0,4.0,Ref,1.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
13,14.0,4.0,Ref,1.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
14,15.0,4.0,Ref,1.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
15,16.0,4.0,Ref,1.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
16,17.0,5.0,STB,1.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
17,18.0,5.0,STB,1.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
18,19.0,5.0,STB,1.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
19,20.0,5.0,STB,1.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
20,21.0,6.0,Zero,2.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
21,22.0,6.0,Zero,2.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
22,23.0,6.0,Zero,2.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
23,24.0,6.0,Zero,2.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
24,25.0,7.0,Ref,2.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
25,26.0,7.0,Ref,2.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
26,27.0,7.0,Ref,2.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
27,28.0,7.0,Ref,2.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
28,29.0,8.0,STB,2.0,1.0,100.0,1.0,172.48000000000002,154.0,224.0,200.0
29,30.0,8.0,STB,2.0,1.0,100.0,1.0,172.48000000000002,154.0,224.0,200.0
30,31.0,8.0,STB,2.0,1.0,100.0,1.0,172.48000000000002,154.0,224.0,200.0
31,32.0,8.0,STB,2.0,1.0,100.0,1.0,172.48000000000002,154.0,224.0,200.0
32,33.0,9.0,STB,2.0,4.0,70.0,4.0,172.48000000000002,154.0,224.0,200.0
33,34.0,9.0,STB,2.0,4.0,70.0,4.0,172.48000000000002,154.0,224.0,200.0
34,35.0,9.0,STB,2.0,4.0,70.0,4.0,172.48000000000002,154.0,224.0,200.0
35,36.0,9.0,STB,2.0,4.0,70.0,4.0,172.48000000000002,154.0,224.0,200.0
36,37.0,10.0,Zero,2.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
37,38.0,10.0,Zero,2.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
38,39.0,10.0,Zero,2.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
39,40.0,10.0,Zero,2.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
40,41.0,11.0,Zero,3.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
41,42.0,11.0,Zero,3.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
42,43.0,11.0,Zero,3.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
43,44.0,11.0,Zero,3.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0
44,45.0,12.0,STB,3.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
45,46.0,12.0,STB,3.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
46,47.0,12.0,STB,3.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
47,48.0,12.0,STB,3.0,1.0,100.0,1.0,172.48000000000002,154.0,224.00000000000003,200.0
48,49.0,13.0,Zero,3.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
49,50.0,13.0,Zero,3.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
50,51.0,13.0,Zero,3.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
51,52.0,13.0,Zero,3.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0
52,53.0,14.0,STB,3.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
53,54.0,14.0,STB,3.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
54,55.0,14.0,STB,3.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
55,56.0,14.0,STB,3.0,4.0,70.0,4.0,172.48000000000002,154.0,224.00000000000003,200.0
56,57.0,15.0,Ref,3.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
57,58.0,15.0,Ref,3.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
58,59.0,15.0,Ref,3.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
59,60.0,15.0,Ref,3.0,2.0,100.0,2.0,125.44000000000001,112.0,112.00000000000001,100.0
