,GPSpoint,Plot_no,Rep,Plant_ht_134,Plant_wh_134,Plant_ht_141,Plant_wh_141,Plant_ht_149,Plant_wh_149,Plant_ht_156,Plant_wh_156,Plant_ht_162,Plant_wh_162,Plant_ht_169,Plant_wh_169,Plant_ht_176,Plant_wh_176,Plant_ht_184,Plant_wh_184,Plant_ht_190,Plant_wh_190,Petiole_120,Petiole_127,Petiole_136,Petiole_143,Petiole_150,Petiole_157,Petiole_164,Petiole_171,Petiole_178,Petiole_183,LeafN_127,LeafN_136,LeafN_143,LeafN_150,LeafN_157,LeafN_164,LeafN_171,LeafN_178,LeafN_183,Stem_ct_197,Stem_gross_g_197,Stem_bag_g,Stem_g_197
2,3.0,1.0,1.0,23.0,22.5,38.0,34.0,51.0,53.0,73.0,59.5,89.5,67.5,102.5,89.5,107.5,94.5,122.5,101.5,114.5,82.5,581.3838550247117,12511.859296482411,16588.047808764943,18825.694444444445,11703.976143141153,9774.432379072063,6615.090543259557,4094.7263681592035,634.6456692913387,58.30039525691699,4.1045,5.6006,5.2319,5.3081,4.8559,4.4176,3.5332,3.2311,3.0293,13.0,566.6,31.63,534.97
4,5.0,2.0,1.0,18.5,19.5,26.0,27.5,32.5,33.0,41.0,42.5,45.0,39.0,50.5,48.0,56.5,41.0,59.0,48.0,60.5,41.5,147.74774774774775,564.0949554896143,252.13505461767627,86.76616915422885,16.46825396825397,12.561819980217606,6.387225548902196,6.027667984189724,6.575073601570167,1.2833168805528132,3.1029,4.3506,4.3257,3.565,2.8913,2.3716,2.1937,2.1946,2.1995,15.0,144.3,31.63,112.67000000000002
6,7.0,2.0,1.0,20.0,18.5,27.5,25.5,33.0,33.5,37.5,33.0,48.0,36.5,47.5,39.0,54.5,38.5,54.0,40.0,52.0,41.5,105.06566604127582,589.593657086224,108.1,19.841269841269842,4.930966469428008,12.574257425742573,2.1084337349397595,0.0,6.793206793206794,0.0992063492063492,3.2161,3.7362,3.9052,3.0542,2.4562,2.2845,2.0399,2.0982,2.0637,16.0,141.0,31.63,109.37
8,9.0,3.0,1.0,17.0,16.0,23.5,24.0,31.0,31.5,41.0,35.0,38.5,36.5,50.0,45.0,55.0,42.5,60.5,45.5,58.0,46.0,623.716381418093,47.84313725490196,41.650294695481335,13.060817547357926,9.4,7.738095238095238,1.2060301507537687,0.0,9.109109109109108,0.4980079681274901,2.9404,3.9925,4.1356,3.4493,3.1396,2.5191,2.2834,2.1659,2.0311,13.0,138.6,31.63,106.97
10,11.0,3.0,1.0,17.5,17.0,23.5,25.5,32.5,34.5,41.0,32.5,35.0,33.5,51.0,42.5,55.5,43.0,60.5,41.5,60.0,49.0,975.3315649867374,205.5776892430279,45.787908820614476,10.34825870646766,4.733727810650888,6.330365974282889,0.3027245206861756,0.0,8.546168958742632,0.20020020020020018,3.1598,3.8309,3.8482,3.3205,2.686,2.4425,2.0994,2.12,2.0355,13.0,139.2,31.63,107.57
12,13.0,4.0,1.0,24.0,24.0,36.0,34.5,53.5,51.5,76.0,60.0,87.5,66.0,99.0,79.5,106.0,88.0,116.5,92.5,117.5,87.5,248.57142857142856,2547.709163346614,11407.607607607608,9521.463897131554,6600.999000999001,5026.461843409316,1084.278606965174,14.803921568627452,7.6616915422885565,7.351460221550856,3.3005,4.9544,5.1218,4.8702,4.4607,3.6993,2.611,2.4058,2.3172,15.0,665.1,31.63,633.47
14,15.0,4.0,1.0,24.75,23.0,40.0,34.75,56.5,56.0,76.5,60.0,92.0,72.5,103.5,86.5,117.0,86.0,123.0,93.0,115.5,87.5,148.31460674157304,5655.544455544456,13609.13654618474,9525.546719681908,7038.599999999999,6456.243756243756,2137.3991935483873,116.40316205533597,8.808808808808807,0.5050505050505051,3.6877,5.1647,5.2665,5.1511,4.3406,3.8028,2.5452,2.4877,2.2977,15.0,680.9,31.63,649.27
16,17.0,5.0,1.0,25.0,27.5,39.5,32.0,52.5,54.5,71.0,58.5,82.0,72.0,92.0,81.5,96.0,74.5,106.0,99.0,95.0,74.5,370.25316455696196,11702.571711177054,15466.932270916337,12787.783251231525,8334.228855721392,6112.938816449348,2648.9021956087827,1825.5744255744257,412.0361083249749,65.76305220883535,4.1911,5.5199,5.1528,4.8524,4.6232,3.8052,3.2166,3.2191,3.2462,14.0,439.0,31.63,407.37
18,19.0,5.0,1.0,23.0,23.5,37.0,33.0,53.0,55.5,69.5,61.0,81.5,66.0,91.0,82.5,97.5,84.5,97.5,90.5,100.0,78.0,274.66367713004485,13885.392156862747,14901.07843137255,13804.2,10900.396825396825,9094.6587537092,4235.721393034826,2378.3864541832672,292.11576846307383,124.52830188679245,3.8183,5.2367,5.0365,5.0642,4.6953,4.0567,3.3825,3.1288,3.247,14.0,397.7,31.63,366.07
20,21.0,6.0,2.0,17.0,17.0,22.5,22.0,30.5,30.0,34.5,30.0,41.5,35.5,50.0,43.5,52.0,39.5,46.0,42.5,55.0,46.0,77.67857142857144,167.7069199457259,86.72875436554132,27.90466732869911,14.399999999999999,1.9704433497536946,6.979062811565305,0.0,10.505450941526263,0.0,3.0373,4.2639,3.9327,3.4429,2.7472,2.3889,2.1452,2.1386,2.1023,14.0,99.7,31.63,68.07000000000001
22,23.0,6.0,2.0,22.0,20.5,25.5,24.5,34.5,35.0,43.5,35.5,50.0,44.0,56.5,50.5,63.0,49.0,64.0,55.5,61.5,49.0,121.89542483660132,557.2572572572573,251.67652859960555,25.922233300099702,6.845238095238096,6.879361914257228,1.5,0.0,8.937437934458787,0.8858267716535433,3.0948,4.7548,3.965,3.128,2.5305,2.128,1.9875,1.923,1.9894,15.0,163.9,31.63,132.27
