,GPSpoint,Plot_no,Rep,Silt_A,Silt_B,Silt_C,Silt_D,Sand_A,Sand_B,Sand_C,Sand_D,Clay_A,Clay_B,Clay_C,Clay_D
0,1.0,1.0,1.0,22.72,22.72,22.72,20.72,53.12,47.12,59.12,59.12,24.160000000000004,30.160000000000004,18.160000000000004,20.160000000000004
1,2.0,1.0,1.0,18.72,18.72,16.72,14.719999999999999,53.12,49.12,49.12,59.12,28.16,32.160000000000004,34.160000000000004,26.160000000000004
2,3.0,1.0,1.0,26.72,22.72,24.72,16.72,53.12,45.12,55.120000000000005,55.120000000000005,20.160000000000004,32.160000000000004,20.160000000000004,28.16
3,4.0,1.0,1.0,24.72,24.72,24.72,16.72,53.12,45.12,55.120000000000005,55.120000000000005,22.160000000000004,30.160000000000004,20.160000000000004,28.16
4,5.0,2.0,1.0,20.72,16.72,27.439999999999998,13.439999999999998,51.12,49.12,46.4,60.4,28.16,34.160000000000004,26.160000000000004,26.160000000000004
5,6.0,2.0,1.0,26.72,20.72,22.72,16.72,55.120000000000005,51.12,57.11999999999999,57.11999999999999,18.160000000000004,28.16,20.160000000000004,26.160000000000004
6,7.0,2.0,1.0,26.72,24.72,24.0,16.0,53.12,47.12,57.83999999999999,63.839999999999996,20.160000000000004,28.16,18.160000000000004,20.160000000000004
7,8.0,2.0,1.0,28.72,18.72,12.719999999999999,-1.2800000000000011,41.12,41.12,55.120000000000005,67.12,30.160000000000004,40.160000000000004,32.160000000000004,34.160000000000004
8,9.0,3.0,1.0,24.72,22.72,24.72,12.719999999999999,53.12,47.12,57.11999999999999,67.12,22.160000000000004,30.160000000000004,18.160000000000004,20.160000000000004
9,10.0,3.0,1.0,24.72,22.72,22.72,20.72,55.120000000000005,51.12,53.12,49.12,20.160000000000004,26.160000000000004,24.160000000000004,30.160000000000004
10,11.0,3.0,1.0,16.72,16.72,18.72,10.719999999999999,55.120000000000005,49.12,51.12,65.12,28.16,34.160000000000004,30.160000000000004,24.160000000000004
11,12.0,3.0,1.0,26.72,24.72,20.72,18.72,53.12,43.12,61.12,57.11999999999999,20.160000000000004,32.160000000000004,18.160000000000004,24.160000000000004
12,13.0,4.0,1.0,20.720000000000013,20.72,20.720000000000013,18.72,57.83999999999999,51.839999999999996,57.83999999999999,55.84,21.439999999999998,27.439999999999998,21.439999999999998,25.439999999999998
13,14.0,4.0,1.0,17.439999999999998,15.439999999999998,13.439999999999998,17.439999999999998,55.120000000000005,63.12,65.12,63.12,27.439999999999998,21.439999999999998,21.439999999999998,19.439999999999998
14,15.0,4.0,1.0,21.440000000000012,21.439999999999998,21.439999999999998,13.439999999999998,57.11999999999999,53.12,53.12,59.12,21.439999999999998,25.439999999999998,25.439999999999998,27.439999999999998
15,16.0,4.0,1.0,20.72,20.72,20.72,16.720000000000013,53.839999999999996,41.839999999999996,49.839999999999996,57.83999999999999,25.439999999999998,37.44,29.439999999999998,25.439999999999998
16,17.0,5.0,1.0,18.72,15.440000000000012,19.439999999999998,17.439999999999998,53.839999999999996,57.11999999999999,47.12,55.120000000000005,27.439999999999998,27.439999999999998,33.44,27.439999999999998
17,18.0,5.0,1.0,20.720000000000013,20.72,20.72,14.720000000000013,57.83999999999999,49.839999999999996,51.839999999999996,57.83999999999999,21.439999999999998,29.439999999999998,27.439999999999998,27.439999999999998
18,19.0,5.0,1.0,24.72,28.72,28.72,24.72,54.559999999999995,46.56,48.56,42.56,20.720000000000006,24.720000000000006,22.720000000000006,32.720000000000006
19,20.0,5.0,1.0,19.439999999999998,15.439999999999998,11.439999999999998,13.439999999999998,53.12,59.12,63.12,67.12,27.439999999999998,25.439999999999998,25.439999999999998,19.439999999999998
20,21.0,6.0,2.0,24.72,21.439999999999998,24.72,18.72,53.839999999999996,59.839999999999996,60.56,60.56,21.439999999999998,18.720000000000006,14.720000000000006,20.720000000000006
21,22.0,6.0,2.0,22.72,22.72,26.72,12.720000000000013,55.84,47.839999999999996,51.839999999999996,57.83999999999999,21.439999999999998,29.439999999999998,21.439999999999998,29.439999999999998
22,23.0,6.0,2.0,18.72,16.720000000000013,16.720000000000013,14.719999999999999,53.839999999999996,51.839999999999996,51.839999999999996,55.84,27.439999999999998,31.439999999999994,31.439999999999994,29.439999999999998
